nst_of_storm,year,day_of_year,second,amplitude,mean_amplitude,var_amplitude,maxis,icloud,prop_icloud_of_storm,dist,dist_barycentre,azimuth,azimuth_barycentre,barycentre_speed,nst_of_alert,airport_alert_id,PSTAT,U,RR1,DRR1,FF,T,N,NBAS,CL,CM,CH,N1,N2,N3,N4,UV_INDICE,is_last_lightning_cloud_ground
14.0,2016,9,56334,8.32,8.947857142857142,111.7650489010989,0.187715,True,0.9285714285714286,21.299547025022264,24.134143557008866,250.285026300855,246.6467137720911,1.2954500376574762,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
15.0,2016,9,56338,5.82,8.739333333333333,104.43406380952379,0.124812,False,0.8666666666666667,27.81645203077692,24.25491515153499,240.17618686632056,245.6597835416229,-0.8821162002209271,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
16.0,2016,9,56338,-18.9,7.011875,145.21758958333334,0.218516,True,0.875,27.158590092685483,24.84278333581372,242.7825323723632,244.7022022321979,-1.6186825638049227,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
17.0,2016,9,56347,-3.28,6.406470588235294,142.3722367647059,2.27186,True,0.8823529411764706,23.70605135268011,24.83478125721139,337.1326343472556,259.6485527382805,23.443032239958395,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
18.0,2016,9,56407,9.63,6.585555555555555,134.57468496732028,0.038315,True,0.8888888888888888,23.42081662136252,24.09119241739069,244.59274219424407,259.6044915538563,-0.0779169198722751,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
19.0,2016,9,56428,107.6,11.902105263157894,664.1466286549708,0.031757,False,0.8421052631578947,25.140043887307545,24.756916834972472,241.0077293324321,259.3294752355784,-0.3920956415658377,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
20.0,2016,9,56479,3.49,11.4815,632.7297186842105,1.10923,True,0.85,18.8328241666243,24.345796358572812,258.8651425376607,260.7594946083794,1.4236071696969348,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
21.0,2016,9,56523,-12.11,10.358095238095236,627.5960361904761,0.042717,True,0.8571428571428571,19.781851861148382,23.006696330301384,246.20241144652672,261.76386537174704,0.7059941559434,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
22.0,2016,9,56523,2.47,9.999545454545453,600.5387854978354,1.29377,True,0.8636363636363636,23.844267266030624,22.45430919252558,242.5090003644188,261.7182767037563,-0.05111510862109855,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
23.0,2016,9,56551,-16.31,8.855652173913043,603.3368802371541,0.026474,True,0.8695652173913043,19.883533920721224,21.817222953865766,245.136303428249,246.3855548839219,-9.85748519622322,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
24.0,2016,9,56599,-7.07,8.192083333333333,587.6726085144927,0.029575,True,0.875,19.20403756972595,21.11442644525967,244.4253949052747,246.35766366909368,-0.04036573476767805,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
25.0,2016,9,56724,-4.46,7.685999999999999,569.5892583333333,1.31292,True,0.88,17.258023355393714,19.800756356607366,242.2035117133128,246.55696073257377,0.05336275356009038,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
26.0,2016,9,56747,3.97,7.543076923076923,547.3367901538461,0.882057,True,0.8846153846153846,15.298477953624618,19.211698654440752,257.2976170645855,246.29570648706124,-0.12555661649221064,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
27.0,2016,9,56775,-2.81,7.15962962962963,530.2552344729345,0.156276,True,0.8888888888888888,16.77213385592881,18.710078986904158,237.09032230474787,244.77702496343144,-0.6884826412048096,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
28.0,2016,9,56874,-7.15,6.648571428571429,517.9292052910052,0.041247,True,0.8928571428571429,10.306158494349429,16.45372752495729,250.6193826291704,246.12875534089002,0.3416179804438338,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
29.0,2016,9,56921,5.43,6.606551724137931,499.48293768472905,0.160307,False,0.8620689655172413,13.328758464775254,15.361264948966296,240.21854012402804,245.30912812351986,-0.22188605562510982,0,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
30.0,2016,9,56938,-6.48,6.170333333333333,487.9679826436781,0.044262,True,0.8666666666666667,11.302701719566713,14.044375640606424,238.4097963330624,244.3065283614845,-0.2725270262578207,1,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
31.0,2016,9,57000,-5.06,5.808064516129032,475.7707827956989,0.171922,True,0.8709677419354839,9.754769716509806,12.793833367459106,238.22191537654643,243.64292897202344,-0.21175048444912686,2,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
32.0,2016,9,57022,-3.28,5.524062499999999,463.00436683467734,1.40742,True,0.875,7.996864681578246,11.576897822118044,277.90565697975177,247.07760229121777,0.8410020325070907,3,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
33.0,2016,9,57022,-12.21,4.986666666666666,458.0656916666666,0.028709,True,0.8787878787878788,7.000155980207078,9.948234842831086,261.7725312055599,251.1913037746865,0.9545442629026585,4,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
34.0,2016,9,57048,-3.12,4.748235294117647,446.11779679144377,1.37051,True,0.8823529411764706,10.510779530439526,9.982338348846104,248.1656145290825,250.78234242467184,-0.13959610556662888,5,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
35.0,2016,9,57097,-2.95,4.528285714285714,434.6899087394957,1.44532,False,0.8571428571428571,5.872995513505315,8.739711190301113,255.90829112877,253.3973009254622,0.7367507346719188,6,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
36.0,2016,9,57110,-8.99,4.152777777777778,427.34642063492055,0.025958,True,0.8611111111111112,6.783135272859823,7.986450115849966,226.5177862311038,251.4152992418024,-0.5784564653552302,7,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
37.0,2016,9,57137,-5.6,3.8891891891891888,418.04640765765754,0.13995,True,0.8648648648648649,3.595486377445717,6.959902892672617,260.15517475680264,255.0708424718451,1.0692997942509483,8,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
38.0,2016,9,57161,-11.72,3.478421052631578,413.15961365576095,0.028261,False,0.8421052631578947,5.239059346842305,6.500268670216627,231.5577499390479,247.34619129839442,-2.1872780857771628,9,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
39.0,2016,9,57185,2.17,3.4448717948717946,402.3308887989203,1.98282,True,0.8461538461538461,1.6785508993319944,5.6133344900707804,312.96266930318023,255.87788098133117,1.7302194015197936,10,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
40.0,2016,9,57185,-4.25,3.2525,393.4949884615384,1.84486,True,0.85,6.706062276636514,4.979214947770278,183.4165881917715,245.08637659177938,-2.381051367371938,11,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
41.0,2016,9,57234,2.32,3.2297560975609754,383.6788224390243,1.66811,True,0.8536585365853658,15.554401291604451,6.592782577453467,228.24974561843013,240.4766190067227,-1.260331174304296,12,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
42.0,2016,9,57235,1.97,3.1997619047619046,374.358587746806,1.93415,True,0.8571428571428571,5.641734761582721,6.402549158907283,263.4121458219201,246.62567893852543,1.8806124054361075,13,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
43.0,2016,9,57274,3.2,3.1997674418604647,365.4452880398671,0.136376,True,0.8604651162790697,4.509775635617425,6.554930701935901,289.56457836774723,251.5272462070162,1.4138021319833236,14,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
44.0,2016,9,57274,3.5,3.2065909090909086,356.94860903805494,1.95336,True,0.8636363636363636,8.31596517161655,7.067748339398276,164.27104692085507,240.31279570398405,-4.181314838041947,15,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
45.0,2016,9,57275,2.37,3.1879999999999997,348.85169363636356,1.9417,True,0.8666666666666667,7.838132177373305,8.094345219071828,333.8130198650712,243.7878541309659,1.9436612962739626,16,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
46.0,2016,9,57275,-6.51,2.9771739130434782,343.14402516908206,0.030653,True,0.8695652173913043,1.7643147868789948,7.270720637445574,305.5376777919866,264.14136906433504,9.810739765931823,17,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
47.0,2016,9,57306,-3.57,2.8378723404255317,336.5964040703052,0.143695,True,0.8723404255319149,0.8345416557006547,4.817410698128275,206.88693419247303,260.5809004933422,-1.6337957769639744,18,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
48.0,2016,9,57326,-5.9,2.6558333333333333,331.02541205673754,0.132527,False,0.8541666666666666,0.5761909543450667,3.973153396921999,61.92751306414968,227.00012836704715,-8.852691197659343,19,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
49.0,2016,9,57341,3.2,2.6669387755102036,324.13509251700674,1.88217,True,0.8571428571428571,5.541985300923964,4.1451883411397565,77.98352343572759,191.73661921171058,-13.074792699795733,20,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
50.0,2016,9,57419,2.94,2.6723999999999997,317.52158187755094,1.90172,True,0.86,0.6535488687241934,2.8681189573243633,99.462322208004,180.93516509290203,-1.334769297191174,21,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
51.0,2016,9,57451,-2.1,2.5788235294117645,311.61773458823524,2.11037,True,0.8627450980392157,5.557666287668971,2.4880413090403075,177.93824230924136,154.9560355002637,-2.216496316763097,22,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
52.0,2016,9,57485,-2.74,2.4765384615384614,306.05161915535444,0.138707,True,0.8653846153846154,4.700184204330153,2.9773528786155006,54.34851480624716,113.09117500264047,-3.5473471813102777,23,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
53.0,2016,9,57503,-6.74,2.302641509433962,301.7687390420899,0.026375,True,0.8679245283018868,5.176237365053231,3.7009688301742636,56.17467356685148,87.9724648983702,-2.809338495056203,24,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
54.0,2016,9,57503,-2.56,2.2125925925925922,296.5128648497554,2.31899,True,0.8703703703703703,4.291262965113882,4.320147498635731,58.24051991518393,87.35796604020925,-0.06900159445888483,25,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
55.0,2016,9,57507,-6.32,2.057454545454545,292.3456156228956,0.029855,True,0.8727272727272727,7.89069399388633,4.711598947462793,181.45225797498333,104.60275513008521,2.950914994528016,26,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
56.0,2016,9,57528,-3.86,1.951785714285714,287.65553129870125,0.802633,False,0.8571428571428571,9.727219353930476,6.223877361663841,169.88673866418546,116.34015787278213,4.104464231981013,27,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
57.0,2016,9,57537,-6.18,1.8091228070175438,283.6789295739348,0.058785,True,0.8596491228070176,5.480051207668493,6.210941514997095,64.29295625928452,97.39927686445598,-8.20839350197575,28,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
58.0,2016,9,57557,-4.06,1.7079310344827585,279.29601318814275,0.306098,True,0.8620689655172413,6.582864344440912,6.524721538348888,63.43494882292206,98.9136825339018,0.8495712760485509,29,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
59.0,2016,9,57576,-3.17,1.6252542372881353,274.8838563997662,1.5672,True,0.864406779661017,1.173024192402015,5.857519342907018,161.73209379276,116.50658590488655,8.41508789842213,30,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
60.0,2016,9,57576,5.43,1.6886666666666665,270.4660761581921,0.046893,True,0.8666666666666667,8.963053778021436,6.636151145058277,34.87051909645046,112.61158576843098,-2.0604803749534204,31,1.0,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
61.0,2016,9,57608,3.01,1.7103278688524588,265.98692989071037,2.27496,True,0.8688524590163934,12.440586054552153,7.39446648850258,47.61637174176195,90.30560472956074,-9.753416646777607,32,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
62.0,2016,9,57634,-4.11,1.6164516129032256,262.17287900581704,0.093843,True,0.8709677419354839,8.667423471117935,7.217833841367157,59.48538318706374,71.90537881670711,-7.527532428048028,33,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
63.0,2016,9,57634,-2.74,1.5473015873015872,258.2455329237071,1.92595,False,0.8571428571428571,1.920146614534476,6.624516409178153,17.4119186342547,64.09187254586881,-3.238392858076247,34,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
64.0,2016,9,57712,-4.34,1.4553124999999998,254.68796498015874,1.825,True,0.859375,10.063687851815445,7.204653660407243,76.96225129581343,66.34642295801737,0.6512280829790947,35,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
65.0,2016,9,57743,-11.75,1.252153846153846,253.39123903846155,0.028279,True,0.8615384615384616,7.881203619290007,8.322683564888576,138.0389595193147,62.39756724577649,-1.140612452212395,36,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
66.0,2016,9,57743,-29.97,0.779090909090909,264.2629560839161,0.0262,True,0.8636363636363636,7.927548883845198,8.150099415859202,137.2669796702452,79.46364400807562,4.991052869516994,37,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
67.0,2016,9,57773,-5.28,0.6886567164179103,260.8069208955224,0.248649,True,0.8656716417910447,8.016243233179381,7.412708945630406,134.18768724756458,93.89219659237604,3.862446194324132,38,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
68.0,2016,9,57783,-3.89,0.6213235294117645,257.222575834065,1.88574,True,0.8676470588235294,10.0434816177101,7.642051970062435,77.60554275446658,96.9122231869432,0.9385990562308671,39,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
69.0,2016,9,57784,-2.63,0.5742028985507245,253.593095311168,2.33895,False,0.855072463768116,6.540200786712663,8.412060998758799,75.89736516026504,106.65979760794492,3.310687985924156,40,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
70.0,2016,9,57823,-2.25,0.5338571428571427,250.03177766045553,3.09312,True,0.8571428571428571,10.101265903760789,8.418324007416356,114.56839227611702,112.92748777132886,2.852416734168641,41,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
71.0,2016,9,57824,-5.76,0.4452112676056336,247.01781959758554,0.253723,True,0.8591549295774648,11.433183764377567,9.010320698264282,141.93764774774974,113.57726914273469,0.4775359430349991,42,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
72.0,2016,9,57842,-2.64,0.40236111111111095,243.6708971635368,2.34899,True,0.8611111111111112,7.873470577731924,9.001307647245403,143.96189807284065,114.69308887650061,0.6081711303924608,43,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
73.0,2016,9,57861,-7.49,0.29424657534246557,241.13985810502285,0.038272,False,0.8493150684931506,11.359112391309814,9.55845250693381,131.19472298207248,114.19426149891859,-0.2871049726625034,44,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
74.0,2016,9,57876,-4.59,0.22824324324324305,238.15894892632357,2.13625,True,0.8513513513513513,13.752883598561102,10.176686170408976,129.04030799277643,122.76672237197022,5.668224366234304,45,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
75.0,2016,9,57881,3.75,0.27519999999999983,235.105955027027,0.040315,True,0.8533333333333334,14.428818960674496,11.49145586606928,54.02483232210125,119.12130023227627,-2.509882755832433,46,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
76.0,2016,9,57881,-2.77,0.23513157894736825,232.09322531578945,2.37033,True,0.8552631578947368,9.729806030472597,11.429545887187915,82.28949971454952,113.74148480534835,-6.367319743300347,47,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
77.0,2016,9,57894,-2.09,0.20493506493506478,229.10957795625424,3.5124,True,0.8571428571428571,17.775686136237432,12.486629615831228,96.64385761853684,106.19251978381284,-7.988918255949468,48,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
78.0,2016,9,57910,-1.85,0.17858974358974342,226.18826681651677,3.02172,True,0.8589743589743589,6.546456367640204,12.26546058081594,107.35816989594944,100.09189842099765,-6.621891177412392,49,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
79.0,2016,9,57934,-3.57,0.13113924050632894,223.4662897111327,1.83462,True,0.8607594936708861,9.935844528775773,12.0282492703936,135.46644108889302,100.80385143880108,0.6843564692818581,50,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
80.0,2016,9,57934,-2.22,0.10174999999999983,220.70670069620252,2.40892,True,0.8625,7.90239564615506,11.053167944992595,99.3891475613292,95.86199136689322,-5.751547297921936,51,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
81.0,2016,9,57934,33.0,0.507901234567901,231.30953179012346,0.024325,False,0.8518518518518519,14.557899554707276,11.07468137733139,70.47583303440676,98.60382481894413,3.439974947757445,52,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
82.0,2016,9,57935,-5.46,0.435121951219512,228.88819813309243,0.057027,True,0.8536585365853658,13.294724770112843,11.668834500604765,62.4261526720061,95.29326697852024,-4.226244269034733,53,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
83.0,2016,9,57958,-7.87,0.3350602409638553,226.92790334998529,0.354662,True,0.8554216867469879,9.270093155630375,10.251235670503588,94.3627607050587,94.91308415960721,-0.4982758588832963,54,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
84.0,2016,9,57958,-3.12,0.29392857142857126,224.33594462134252,1.87612,True,0.8571428571428571,6.869346179079546,10.305050639076812,115.41556125891492,96.25598272010144,1.736556579701208,55,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
85.0,2016,9,57999,-2.83,0.2571764705882351,221.78008955182074,2.16519,True,0.8588235294117647,8.23993527650728,10.022399097032064,100.05134813837628,90.35346722834866,-5.4867708540755,56,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
86.0,2016,9,58019,-9.12,0.14813953488372078,220.1933706155951,0.028886,True,0.8604651162790697,10.377839271933803,10.434973034661855,112.40467706172991,92.52272214508211,1.6269663858865466,57,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
87.0,2016,9,58019,8.27,0.24149425287356308,218.39119657845495,0.259161,False,0.8505747126436781,10.343877398770989,9.732636008672472,106.46860302401542,98.52151714335024,4.071653036088864,58,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
88.0,2016,9,58019,-2.96,0.20511363636363622,215.99742527429467,2.06592,True,0.8522727272727273,9.579074907056992,9.113361031496497,125.7053359291203,109.06804768620259,6.821076106395874,59,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
89.0,2016,9,58034,-5.03,0.14629213483146053,213.85084632277832,1.54685,True,0.8539325842696629,8.451061330628928,8.97685572732959,87.43470031042312,107.91337095376332,-0.8290951363031012,60,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
90.0,2016,9,58034,-2.75,0.11411111111111097,211.54123347066167,2.34398,False,0.8444444444444444,7.789527286443024,9.130219245223504,84.57290942461907,102.77292898138067,-3.6931577868893952,61,1.0,992.2,76.0,1.8,5.0,10.2,8.6,7.0,7.0,9.0,,,2.0,6.0,,,,False
